procedure_code,hazard_code
SPO-1,Z01
SPO-1,Z02
SPO-1,Z04
SPO-1,Z07
SPO-1,Z17
SPO-2,Z02
SPO-2,Z07
SPO-2,Z08
SPO-2,Z19
SPO-3,Z01
SPO-3,Z02
SPO-3,Z07
SPO-3,Z13
SPO-3,Z17
SPO-3,Z20
SPO-4,Z04
SPO-4,Z16
SPO-4,Z18
SPO-5,Z01
SPO-5,Z02
SPO-5,Z07
SPO-5,Z08
SPO-5,Z10
SPO-5,Z19
SPO-6,Z04
SPO-6,Z16
SPO-6,Z18
SPO-7,Z04
SPO-7,Z16
SPO-8,Z16
SPO-9,Z04
SPO-9,Z09
SPO-9,Z18
SPO-10,Z03
SPO-10,Z04
SPO-10,Z07
SPO-10,Z12
SPO-10,Z14
SPO-10,Z16
SPO-11,Z04
SPO-11,Z16
SPO-11,Z15
SPO-12,Z01
SPO-12,Z02
SPO-12,Z03
SPO-12,Z04
SPO-12,Z07
SPO-12,Z12
SPO-13,Z04
SPO-13,Z16
SPO-14,Z04
SPO-14,Z16
SPO-15,Z01
SPO-15,Z10
SPO-15,Z13
SPO-15,Z15
SPO-15,Z16
SPO-15,Z17
SPO-16,Z03
SPO-16,Z04
SPO-16,Z16
