blocker_reason,wystapienia,procedury,lata,pierwsze,ostatnie
Nieaktualna lista punktow kontaktowych operatorow infrastruktury krytycznej,201,14,4,2023,2026
Brak potwierdzenia odbioru meldunku przez adresata,58,11,4,2023,2026
Oczekiwanie na decyzje ministra wiodacego,57,14,4,2023,2026
Brak wyznaczonego zastepcy osoby odpowiedzialnej,41,13,4,2023,2026
Rozbieznosc danych miedzy WCZK a sluzba,34,13,4,2023,2026
Niekompletny kosztorys we wniosku o srodki,33,12,4,2023,2026
Oczekiwanie na opinie prawna,30,10,4,2023,2026
Przeciazenie infolinii i kanalu zgloszeniowego,21,10,4,2023,2026
Brak tlumacza jezyka obcego o wymaganej specjalnosci,16,8,4,2023,2026
Brak dostepu do lacznosci niejawnej w lokalizacji zapasowej,14,9,4,2023,2026
