procedure_code,step_no,step_title,role_code,wykonania,sla_compliance,mediana_czasu_min,sla_minutes,przekroczenie_pct,stosunek_do_normy
SPO-3,4,Przygotowanie wersji obcojęzycznych i dostępnych dla osób z niepełnosprawnościami,R_RZECZ,158,0.10126582278481013,113.95,60,89.9,1.9
SPO-10,3,Nawiązanie kontaktu z operatorem i wyznaczenie punktu styku,R_OPER_IK,124,0.16129032258064516,107.1,60,83.9,1.78
SPO-2,3,Ocena zasadności merytorycznej i związku wydatku ze zdarzeniem,R_MSWIA,90,0.17777777777777778,442.0,240,82.2,1.84
SPO-9,4,Wsparcie tłumaczy i informacji w językach obcych,R_MSWIA,47,0.3191489361702128,352.6,240,68.1,1.47
SPO-15,3,Identyfikacja szpitali docelowych i wolnych miejsc specjalistycznych,R_MZ,29,0.4827586206896552,93.1,90,51.7,1.03
SPO-13,7,Koordynacja z operatorami lotnisk i zarządca przestrzeni powietrznej,R_MON,46,0.6521739130434783,21.0,30,34.8,0.7
SPO-15,5,Wyznaczenie lotnisk i lądowisk operacyjnych,R_MON,29,0.6551724137931034,80.8,120,34.5,0.67
SPO-1,2,Weryfikacja przesłanek ustawowych i zakresu przedmiotowego posiedzenia,R_DYR_RCB,78,0.6794871794871795,43.45,60,32.1,0.72
SPO-15,4,Uruchomienie sił LPR i lotnictwa transportowego SZ RP,R_MON,29,0.6896551724137931,98.8,120,31.0,0.82
SPO-2,1,Przyjęcie wniosku wojewody lub ministra o uruchomienie środków,R_MF,90,0.7,49.15,60,30.0,0.82
SPO-9,8,Ochrona osób małoletnich bez opieki i osób wrażliwych,R_MSWIA,47,0.7021276595744681,266.3,360,29.8,0.74
SPO-10,8,Monitorowanie odtwarzania funkcji i raportowanie postępu,R_OPER_IK,124,0.7096774193548387,516.2,720,29.0,0.72
SPO-2,4,Uzgodnienie źródła finansowania i limitu z Ministrem Finansów,R_MF,90,0.7111111111111111,347.5,480,28.9,0.72
SPO-16,1,Przyjęcie zgłoszenia incydentu i wstępna kwalifikacja,R_CSIRT,67,0.7164179104477612,20.0,30,28.4,0.67
SPO-1,9,Sporządzenie i dystrybucja ustaleń oraz wykazu zadań,R_SEKR_RZZK,78,0.717948717948718,199.3,240,28.2,0.83
SPO-15,9,Ewidencja pacjentów i informacja dla rodzin,R_MZ,29,0.7241379310344828,153.8,240,27.6,0.64
SPO-15,2,Ustalenie liczby poszkodowanych i wyników segregacji medycznej,R_MZ,29,0.7241379310344828,44.2,60,27.6,0.74
SPO-3,7,Emisja komunikatu i potwierdzenie dystrybucji w kanałach,R_DYZ_RCB,158,0.7278481012658228,10.75,15,27.2,0.72
SPO-16,4,Przygotowanie materiału sytuacyjnego o incydencie,R_CSIRT,67,0.7313432835820896,83.5,120,26.9,0.7
SPO-3,1,Ocena sytuacji informacyjnej i identyfikacja grup odbiorców,R_ANAL_RCB,158,0.740506329113924,20.35,30,25.9,0.68
SPO-3,3,Przygotowanie komunikatu bazowego oraz wersji uproszczonej,R_RZECZ,158,0.740506329113924,30.5,45,25.9,0.68
SPO-2,7,Wydanie decyzji i przekazanie jej dysponentowi części budżetowej,R_MF,90,0.7444444444444445,169.75,240,25.6,0.71
SPO-2,5,Przygotowanie projektu decyzji o zmianie w budżecie państwa,R_MF,90,0.7444444444444445,326.0,480,25.6,0.68
SPO-9,5,Weryfikacja tożsamości i kontrola bezpieczeństwa,R_ABW,47,0.7446808510638298,263.2,360,25.5,0.73
SPO-12,2,Weryfikacja i uzupełnienie danych u źródła,R_DYZ_RCB,260,0.7461538461538462,22.15,30,25.4,0.74
SPO-10,2,Identyfikacja systemu IK i właściwego ministra odpowiedzialnego,R_ANAL_RCB,124,0.75,39.45,60,25.0,0.66
SPO-3,2,Wyznaczenie rzecznika wiodącego i wdrożenie zasady jednego głosu,R_DYR_RCB,158,0.7531645569620253,22.5,30,24.7,0.75
SPO-2,2,Weryfikacja formalna wniosku i kompletności kosztorysu,R_MF,90,0.7555555555555555,86.45,120,24.4,0.72
SPO-15,7,Organizacja transportu naziemnego na obu końcach mostu,R_WOJ,29,0.7586206896551724,96.8,120,24.1,0.81
SPO-3,6,Zatwierdzenie treści przez ministra wiodącego lub Dyrektora RCB,R_MIN_WIOD,158,0.759493670886076,21.7,30,24.1,0.72
SPO-12,3,Klasyfikacja zdarzenia wg katalogu zagrożeń Z01-Z20,R_ANAL_RCB,260,0.7615384615384615,21.1,30,23.8,0.7
SPO-9,3,"Zapewnienie zakwaterowania, wyżywienia i opieki medycznej",R_WOJ,47,0.7659574468085106,352.8,480,23.4,0.74
SPO-3,8,Monitoring odbioru komunikatu oraz narracji dezinformacyjnych,R_ANAL_RCB,158,0.7658227848101266,80.95,120,23.4,0.67
SPO-2,8,Uruchomienie transzy i powiadomienie beneficjenta,R_WOJ,90,0.7666666666666667,166.45,240,23.3,0.69
SPO-1,10,Monitorowanie realizacji zadań i raport zwrotny do Przewodniczącego,R_ANAL_RCB,78,0.7692307692307693,984.95,1440,23.1,0.68
SPO-3,5,"Dobór kanałów: Alert RCB, RSO, media, syreny, kanały samorządowe",R_DYR_RCB,158,0.7721518987341772,22.65,30,22.8,0.76
SPO-10,6,Uzgodnienie wsparcia sił i środków administracji dla operatora,R_WOJ,124,0.7741935483870968,165.4,240,22.6,0.69
SPO-1,3,"Uzgodnienie terminu i trybu posiedzenia: stacjonarny, zdalny lub obiegowy",R_SEKR_RZZK,78,0.782051282051282,40.25,60,21.8,0.67
SPO-1,5,Przygotowanie raportu sytuacyjnego i projektu porządku obrad,R_ANAL_RCB,78,0.782051282051282,87.1,120,21.8,0.73
SPO-12,4,Sporządzenie raportu sytuacyjnego dla kierownictwa,R_ANAL_RCB,260,0.7846153846153846,42.75,60,21.5,0.71
SPO-9,2,Uruchomienie punktów recepcyjnych i rejestracji,R_WOJ,47,0.7872340425531915,180.3,240,21.3,0.75
SPO-12,5,Dystrybucja raportu do adresatów zgodnie z lista rozdzielnika,R_DYZ_RCB,260,0.7884615384615384,20.200000000000003,30,21.2,0.67
SPO-10,5,Ustalenie priorytetów zasilania i przywracania funkcji,R_MIN_WIOD,124,0.7903225806451613,164.95,240,21.0,0.69
SPO-16,3,Zwołanie Zespołu do spraw Incydentów Krytycznych,R_ABW,67,0.7910447761194029,39.9,60,20.9,0.66
SPO-12,1,Przyjęcie meldunku z CZK i nadanie numeru ewidencyjnego,R_DYZ_RCB,260,0.7923076923076923,10.350000000000001,15,20.8,0.69
