chunk_id,document_id,doc_type,procedure_code,section,chunk_title,char_count
C00001,DOC-SPO-1,spo,SPO-1,1. Cel procedury,SPO-1 - cel procedury,578
C00002,DOC-SPO-1,spo,SPO-1,2. Podstawa prawna,SPO-1 - podstawa prawna,314
C00003,DOC-SPO-1,spo,SPO-1,3. Przeslanki uruchomienia,SPO-1 - kiedy uruchomic,485
C00004,DOC-SPO-1,spo,SPO-1,4. Uczestnicy i odpowiedzialnosci,SPO-1 - kto odpowiada,488
C00005,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 1: Przyjecie i rejestracja wniosku o zwolanie posiedzenia RZZK,443
C00006,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 2: Weryfikacja przeslanek ustawowych i zakresu przedmiotowego posiedzenia,479
C00007,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,"SPO-1 krok 3: Uzgodnienie terminu i trybu posiedzenia: stacjonarny, zdalny lub obiegowy",456
C00008,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 4: Powiadomienie czlonkow RZZK oraz uczestnikow zaproszonych,429
C00009,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 5: Przygotowanie raportu sytuacyjnego i projektu porzadku obrad,439
C00010,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 6: Uzgodnienie projektow rekomendacji z ministrem wiodacym,430
C00011,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 7: Zapewnienie warunkow organizacyjno-technicznych i lacznosci niejawnej,478
C00012,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 8: Obsluga posiedzenia i protokolowanie przebiegu,421
C00013,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 9: Sporzadzenie i dystrybucja ustalen oraz wykazu zadan,433
C00014,DOC-SPO-1,spo,SPO-1,5. Przebieg - kroki,SPO-1 krok 10: Monitorowanie realizacji zadan i raport zwrotny do Przewodniczacego,451
C00015,DOC-SPO-1,spo,SPO-1,6. Dokumenty wytwarzane,SPO-1 - dokumenty,436
C00016,DOC-SPO-1,spo,SPO-1,7. Wskazniki i czasy normatywne,SPO-1 - SLA i wskazniki,285
C00017,DOC-SPO-1,spo,SPO-1,8. Powiazania,SPO-1 - powiazania z innymi procedurami,345
C00018,DOC-SPO-2,spo,SPO-2,1. Cel procedury,SPO-2 - cel procedury,482
C00019,DOC-SPO-2,spo,SPO-2,2. Podstawa prawna,SPO-2 - podstawa prawna,323
C00020,DOC-SPO-2,spo,SPO-2,3. Przeslanki uruchomienia,SPO-2 - kiedy uruchomic,492
C00021,DOC-SPO-2,spo,SPO-2,4. Uczestnicy i odpowiedzialnosci,SPO-2 - kto odpowiada,444
C00022,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 1: Przyjecie wniosku wojewody lub ministra o uruchomienie srodkow,432
C00023,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 2: Weryfikacja formalna wniosku i kompletnosci kosztorysu,428
C00024,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 3: Ocena zasadnosci merytorycznej i zwiazku wydatku ze zdarzeniem,459
C00025,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 4: Uzgodnienie zrodla finansowania i limitu z Ministrem Finansow,471
C00026,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 5: Przygotowanie projektu decyzji o zmianie w budzecie panstwa,439
C00027,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,"SPO-2 krok 6: Uzyskanie opinii RZZK, jesli wymagana zakresem zdarzenia",425
C00028,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 7: Wydanie decyzji i przekazanie jej dysponentowi czesci budzetowej,448
C00029,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 8: Uruchomienie transzy i powiadomienie beneficjenta,419
C00030,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 9: Monitoring wydatkowania i sprawozdawczosc okresowa,421
C00031,DOC-SPO-2,spo,SPO-2,5. Przebieg - kroki,SPO-2 krok 10: Rozliczenie koncowe i kontrola wykorzystania srodkow,426
C00032,DOC-SPO-2,spo,SPO-2,6. Dokumenty wytwarzane,SPO-2 - dokumenty,448
C00033,DOC-SPO-2,spo,SPO-2,7. Wskazniki i czasy normatywne,SPO-2 - SLA i wskazniki,278
C00034,DOC-SPO-2,spo,SPO-2,8. Powiazania,SPO-2 - powiazania z innymi procedurami,274
C00035,DOC-SPO-3,spo,SPO-3,1. Cel procedury,SPO-3 - cel procedury,621
C00036,DOC-SPO-3,spo,SPO-3,2. Podstawa prawna,SPO-3 - podstawa prawna,326
C00037,DOC-SPO-3,spo,SPO-3,3. Przeslanki uruchomienia,SPO-3 - kiedy uruchomic,499
C00038,DOC-SPO-3,spo,SPO-3,4. Uczestnicy i odpowiedzialnosci,SPO-3 - kto odpowiada,491
C00039,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 1: Ocena sytuacji informacyjnej i identyfikacja grup odbiorcow,434
C00040,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 2: Wyznaczenie rzecznika wiodacego i wdrozenie zasady jednego glosu,445
C00041,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 3: Przygotowanie komunikatu bazowego oraz wersji uproszczonej,437
C00042,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 4: Przygotowanie wersji obcojezycznych i dostepnych dla osob z niepelnosprawnosciami,466
C00043,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,"SPO-3 krok 5: Dobor kanalow: Alert RCB, RSO, media, syreny, kanaly samorzadowe",433
C00044,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 6: Zatwierdzenie tresci przez ministra wiodacego lub Dyrektora RCB,427
C00045,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 7: Emisja komunikatu i potwierdzenie dystrybucji w kanalach,435
C00046,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 8: Monitoring odbioru komunikatu oraz narracji dezinformacyjnych,439
C00047,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 9: Publikacja sprostowan i aktualizacji cyklicznych,419
C00048,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 10: Briefing prasowy lub konferencja z udzialem ministra wiodacego,441
C00049,DOC-SPO-3,spo,SPO-3,5. Przebieg - kroki,SPO-3 krok 11: Archiwizacja komunikatow i ocena skutecznosci dotarcia,432
C00050,DOC-SPO-3,spo,SPO-3,6. Dokumenty wytwarzane,SPO-3 - dokumenty,474
C00051,DOC-SPO-3,spo,SPO-3,7. Wskazniki i czasy normatywne,SPO-3 - SLA i wskazniki,281
C00052,DOC-SPO-3,spo,SPO-3,8. Powiazania,SPO-3 - powiazania z innymi procedurami,297
C00053,DOC-SPO-4,spo,SPO-4,1. Cel procedury,SPO-4 - cel procedury,567
C00054,DOC-SPO-4,spo,SPO-4,2. Podstawa prawna,SPO-4 - podstawa prawna,314
C00055,DOC-SPO-4,spo,SPO-4,3. Przeslanki uruchomienia,SPO-4 - kiedy uruchomic,540
C00056,DOC-SPO-4,spo,SPO-4,4. Uczestnicy i odpowiedzialnosci,SPO-4 - kto odpowiada,635
C00057,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 1: Analiza przeslanek zagrozenia porzadku publicznego i bezpieczenstwa,432
C00058,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,"SPO-4 krok 2: Ocena skutkow dla ruchu granicznego, transportu i gospodarki",453
C00059,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,"SPO-4 krok 3: Uzgodnienie zakresu, odcinkow i czasu kontroli z KG SG",437
C00060,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 4: Notyfikacja Komisji Europejskiej i panstw czlonkowskich,431
C00061,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 5: Opracowanie projektu rozporzadzenia MSWiA,441
C00062,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 6: Uzgodnienia miedzyresortowe i opinia RCL,393
C00063,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 7: Przyjecie i publikacja rozporzadzenia,399
C00064,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 8: Rozwiniecie przejsc granicznych i sil Strazy Granicznej,434
C00065,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 9: Komunikacja do podroznych i przewoznikow w trybie SPO-3,438
C00066,DOC-SPO-4,spo,SPO-4,5. Przebieg - kroki,SPO-4 krok 10: Cykliczna ocena zasadnosci utrzymania lub przedluzenia kontroli,453
C00067,DOC-SPO-4,spo,SPO-4,6. Dokumenty wytwarzane,SPO-4 - dokumenty,428
C00068,DOC-SPO-4,spo,SPO-4,7. Wskazniki i czasy normatywne,SPO-4 - SLA i wskazniki,278
C00069,DOC-SPO-4,spo,SPO-4,8. Powiazania,SPO-4 - powiazania z innymi procedurami,336
C00070,DOC-SPO-5,spo,SPO-5,1. Cel procedury,SPO-5 - cel procedury,611
C00071,DOC-SPO-5,spo,SPO-5,2. Podstawa prawna,SPO-5 - podstawa prawna,337
C00072,DOC-SPO-5,spo,SPO-5,3. Przeslanki uruchomienia,SPO-5 - kiedy uruchomic,518
C00073,DOC-SPO-5,spo,SPO-5,4. Uczestnicy i odpowiedzialnosci,SPO-5 - kto odpowiada,558
C00074,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 1: Przyjecie wniosku wojewody lub ministra o wprowadzenie stanu,466
C00075,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,"SPO-5 krok 2: Ocena, czy sily i srodki na nizszych poziomach sa niewystarczajace",445
C00076,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 3: Okreslenie obszaru obowiazywania i przewidywanego czasu trwania,463
C00077,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 4: Opracowanie projektu rozporzadzenia Rady Ministrow,453
C00078,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 5: Okreslenie katalogu ograniczen wolnosci i praw czlowieka,414
C00079,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 6: Rozpatrzenie projektu przez Rade Ministrow,407
C00080,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 7: Przekazanie rozporzadzenia Sejmowi RP,410
C00081,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 8: Publikacja i ogloszenie stanu w mediach w trybie SPO-3,429
C00082,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 9: Wyznaczenie pelnomocnika i trybu kierowania dzialaniami,457
C00083,DOC-SPO-5,spo,SPO-5,5. Przebieg - kroki,SPO-5 krok 10: Raportowanie okresowe i wniosek o zniesienie stanu,410
C00084,DOC-SPO-5,spo,SPO-5,6. Dokumenty wytwarzane,SPO-5 - dokumenty,469
