document_id,doc_type,title,procedure_code,voivodeship_code,owner_institution,section_count,chunk_count,char_count
DOC-SPO-1,spo,SPO-1 Organizacja posiedzenia Rzadowego Zespolu Zarzadzania Kryzysowego,SPO-1,,Rzadowe Centrum Bezpieczenstwa,8,17,7390
DOC-SPO-2,spo,SPO-2 Uruchomienie dodatkowych srodkow finansowych,SPO-2,,Ministerstwo Finansow,8,17,7109
DOC-SPO-3,spo,SPO-3 Zasady informowania ludnosci o zagrozeniach - organizacja procesu komunikacji spolecznej w sytuacji kryzysowej,SPO-3,,Rzadowe Centrum Bezpieczenstwa,8,18,7797
DOC-SPO-4,spo,SPO-4 Tymczasowe przywrocenie kontroli granicznej na granicach RP,SPO-4,,Ministerstwo Spraw Wewnetrznych i Administracji,8,17,7409
DOC-SPO-5,spo,SPO-5 Wprowadzenie stanu kleski zywiolowej,SPO-5,,Ministerstwo Spraw Wewnetrznych i Administracji,8,17,7434
DOC-SPO-6,spo,SPO-6 Wprowadzenie stanu wyjatkowego,SPO-6,,Ministerstwo Spraw Wewnetrznych i Administracji,8,16,6532
DOC-SPO-7,spo,SPO-7 Wprowadzenie stanu wojennego,SPO-7,,Ministerstwo Obrony Narodowej,8,16,6443
DOC-SPO-8,spo,SPO-8 Postepowanie w sytuacji uprowadzenia terrorystycznego obywatela polskiego poza obszarem RP,SPO-8,,Ministerstwo Spraw Zagranicznych,8,17,7068
DOC-SPO-9,spo,SPO-9 Dzialania w przypadku masowego naplywu cudzoziemcow na terytorium RP,SPO-9,,Ministerstwo Spraw Wewnetrznych i Administracji,8,17,7241
DOC-SPO-10,spo,SPO-10 Wspolpraca miedzy administracja publiczna a wlascicielami oraz posiadaczami obiektow infrastruktury krytycznej w zakresie jej ochrony,SPO-10,,Rzadowe Centrum Bezpieczenstwa,8,17,7705
DOC-SPO-11,spo,SPO-11 Organizacja ewakuacji obywateli polskich spoza granic kraju,SPO-11,,Ministerstwo Spraw Zagranicznych,8,17,7029
DOC-SPO-12,spo,SPO-12 Obieg informacji pomiedzy krajowymi organami i strukturami zarzadzania kryzysowego,SPO-12,,Rzadowe Centrum Bezpieczenstwa,8,15,6116
DOC-SPO-13,spo,SPO-13 Ostrzeganie i alarmowanie wojsk oraz ludnosci cywilnej o zagrozeniu uderzeniami z powietrza,SPO-13,,Ministerstwo Obrony Narodowej,8,16,6803
DOC-SPO-14,spo,SPO-14 Przekraczanie granic RP przez wojska sojusznicze w celu pobytu lub tranzytu,SPO-14,,Ministerstwo Obrony Narodowej,8,16,6607
DOC-SPO-15,spo,SPO-15 Organizacja medycznego mostu powietrznego w przypadku wystapienia zdarzenia masowego,SPO-15,,Ministerstwo Zdrowia,8,17,7319
DOC-SPO-16,spo,SPO-16 Zwolanie i obsluga posiedzenia Zespolu do spraw Incydentow Krytycznych,SPO-16,,ABW,8,17,7287
DOC-WZK-02,plan_wojewodzki,Wojewodzki Plan Zarzadzania Kryzysowego - dolnoslaskie,,02,Urzad Wojewodzki w Wroclaw,3,8,3568
