procedure_id,procedure_code,procedure_name,owner_role,owner_institution,phase,hazard_codes,legal_basis,step_count,total_sla_minutes,critical_step_count,keywords
P001,SPO-1,Organizacja posiedzenia Rządowego Zespołu Zarządzania Kryzysowego,R_SEKR_RZZK,Rządowe Centrum Bezpieczeństwa,reagowanie,Z01|Z02|Z04|Z07|Z17,"Ustawa z 26 kwietnia 2007 r. o zarządzaniu kryzysowym, art. 8-9",10,2385,7,RZZK|posiedzenie|premier|zwołanie zespołu|rekomendacje rządowe
P002,SPO-2,Uruchomienie dodatkowych środków finansowych,R_MF,Ministerstwo Finansów,reagowanie,Z02|Z07|Z08|Z19,Ustawa o finansach publicznych - rezerwa celowa na zarządzanie kryzysowe,10,9780,6,rezerwa celowa|środki finansowe|promesa|dotacja|budżet kryzysowy
P003,SPO-3,Zasady informowania ludności o zagrożeniach - organizacja procesu komunikacji społecznej w sytuacji kryzysowej,R_RZECZ,Rządowe Centrum Bezpieczeństwa,reagowanie,Z01|Z02|Z07|Z13|Z17|Z20,Ustawa o zarządzaniu kryzysowym; ustawa Prawo telekomunikacyjne - Alert RCB,11,2220,6,Alert RCB|RSO|komunikat|rzecznik|informowanie ludności|dezinformacja
P004,SPO-4,Tymczasowe przywrócenie kontroli granicznej na granicach RP,R_MSWIA,Ministerstwo Spraw Wewnętrznych i Administracji,reagowanie,Z04|Z16|Z18,Kodeks graniczny Schengen; ustawa o ochronie granicy państwowej,10,6600,6,kontrola graniczna|Schengen|granica wewnętrzna|Straż Graniczna|notyfikacja KE
P005,SPO-5,Wprowadzenie stanu klęski żywiołowej,R_MSWIA,Ministerstwo Spraw Wewnętrznych i Administracji,reagowanie,Z01|Z02|Z07|Z08|Z10|Z19,Konstytucja RP art. 228 i 232; ustawa z 18 kwietnia 2002 r. o stanie klęski żywiołowej,10,5100,8,stan klęski żywiołowej|rozporządzenie Rady Ministrów|ograniczenia praw|pełnomocnik
P006,SPO-6,Wprowadzenie stanu wyjątkowego,R_MSWIA,Ministerstwo Spraw Wewnętrznych i Administracji,reagowanie,Z04|Z16|Z18,Konstytucja RP art. 230; ustawa z 21 czerwca 2002 r. o stanie wyjątkowym,9,5700,7,stan wyjątkowy|porządek publiczny|Prezydent RP|rozporządzenie
P007,SPO-7,Wprowadzenie stanu wojennego,R_MON,Ministerstwo Obrony Narodowej,reagowanie,Z04|Z16,Konstytucja RP art. 229; ustawa z 29 sierpnia 2002 r. o stanie wojennym,9,2940,8,stan wojenny|Naczelny Dowódca|obrona państwa|Prezydent RP
P008,SPO-8,Postępowanie w sytuacji uprowadzenia terrorystycznego obywatela polskiego poza obszarem RP,R_MSZ,Ministerstwo Spraw Zagranicznych,reagowanie,Z16,Ustawa o działaniach antyterrorystycznych; prawo konsularne,10,5820,7,uprowadzenie|zakładnik|konsul|antyterroryzm|negocjacje
P009,SPO-9,Działania w przypadku masowego napływu cudzoziemców na terytorium RP,R_MSWIA,Ministerstwo Spraw Wewnętrznych i Administracji,reagowanie,Z04|Z09|Z18,Ustawa o udzielaniu cudzoziemcom ochrony; ustawa o zarządzaniu kryzysowym,10,4500,5,napływ cudzoziemców|recepcja|punkt przyjęcia|rejestracja|zakwaterowanie
P010,SPO-10,Współpraca między administracja publiczna a właścicielami oraz posiadaczami obiektów infrastruktury krytycznej w zakresie jej ochrony,R_DYR_RCB,Rządowe Centrum Bezpieczeństwa,reagowanie,Z03|Z04|Z07|Z12|Z14|Z16,"Ustawa o zarządzaniu kryzysowym, art. 6; Narodowy Program Ochrony Infrastruktury Krytycznej",10,6450,6,infrastruktura krytyczna|operator IK|NPOIK|odtworzenie funkcji|efekt domina
P011,SPO-11,Organizacja ewakuacji obywateli polskich spoza granic kraju,R_MSZ,Ministerstwo Spraw Zagranicznych,reagowanie,Z04|Z16|Z15,Prawo konsularne; ustawa o zarządzaniu kryzysowym,10,9000,7,ewakuacja z zagranicy|most powietrzny|konsul|rejestracja Odyseusz|repatriacja
P012,SPO-12,Obieg informacji pomiedzy krajowymi organami i strukturami zarządzania kryzysowego,R_DYZ_RCB,Rządowe Centrum Bezpieczeństwa,przygotowanie,Z01|Z02|Z03|Z04|Z07|Z12,"Ustawa o zarządzaniu kryzysowym, art. 11 - zadania RCB",8,3105,5,meldunek|raport dobowy|obieg informacji|CZK|dyżur
P013,SPO-13,Ostrzeganie i alarmowanie wojsk oraz ludności cywilnej o zagrożeniu uderzeniami z powietrza,R_MON,Ministerstwo Obrony Narodowej,reagowanie,Z04|Z16,Ustawa o obronie Ojczyzny; przepisy o systemie wykrywania i alarmowania,9,1540,7,alarm powietrzny|syreny|system wykrywania i alarmowania|SWA|przestrzeń powietrzna
P014,SPO-14,Przekraczanie granic RP przez wojska sojusznicze w celu pobytu lub tranzytu,R_MON,Ministerstwo Obrony Narodowej,przygotowanie,Z04|Z16,Ustawa o zasadach pobytu wojsk obcych na terytorium RP; NATO SOFA,9,8640,6,wojska sojusznicze|HNS|tranzyt|NATO|przekraczanie granicy
P015,SPO-15,Organizacja medycznego mostu powietrznego w przypadku wystąpienia zdarzenia masowego,R_MZ,Ministerstwo Zdrowia,reagowanie,Z01|Z10|Z13|Z15|Z16|Z17,Ustawa o Państwowym Ratownictwie Medycznym; ustawa o zarządzaniu kryzysowym,10,3780,7,most powietrzny|zdarzenie masowe|LPR|triage|MEDEVAC|szpital docelowy
