role_code,role_name,institution,level
R_DYZ_RCB,Oficer dyżurny RCB,Rządowe Centrum Bezpieczeństwa,krajowy
R_DYR_RCB,Dyrektor RCB,Rządowe Centrum Bezpieczeństwa,krajowy
R_ANAL_RCB,Zespół analiz RCB,Rządowe Centrum Bezpieczeństwa,krajowy
R_SEKR_RZZK,Sekretarz RZZK,Rządowe Centrum Bezpieczeństwa,krajowy
R_RZECZ,Rzecznik prasowy,Rządowe Centrum Bezpieczeństwa,krajowy
R_MIN_WIOD,Minister wiodący,Ministerstwo wiodące,krajowy
R_MSWIA,Departament ZK MSWiA,Ministerstwo Spraw Wewnętrznych i Administracji,krajowy
R_MON,Centrum Zarządzania Kryzysowego MON,Ministerstwo Obrony Narodowej,krajowy
R_MSZ,Sztab Kryzysowy MSZ,Ministerstwo Spraw Zagranicznych,krajowy
R_MF,Departament Budżetu MF,Ministerstwo Finansów,krajowy
R_MZ,Centrum Zarządzania Kryzysowego MZ,Ministerstwo Zdrowia,krajowy
R_KGP,Komenda Główna Policji,Policja,krajowy
R_KGPSP,Komenda Główna PSP,Państwowa Straż Pożarna,krajowy
R_KGSG,Komenda Główna Straży Granicznej,Straż Graniczna,krajowy
R_ABW,Agencja Bezpieczeństwa Wewnętrznego,ABW,krajowy
R_CSIRT,CSIRT NASK / CSIRT GOV,Zespoły reagowania na incydenty,krajowy
R_WOJ,Wojewoda / WCZK,Urząd Wojewódzki,wojewódzki
R_STAR,Starosta / PCZK,Starostwo Powiatowe,powiatowy
R_WOJT,"Wójt, burmistrz, prezydent miasta",Urząd Gminy,gminny
R_OPER_IK,Operator infrastruktury krytycznej,Podmiot IK,operatorski
R_RCL,Rządowe Centrum Legislacji,RCL,krajowy
R_KPRM,Kancelaria Prezesa Rady Ministrów,KPRM,krajowy
